Transaction_ID,Transaction_Date,Transaction_Amount,Transaction_Status,Transaction_Type,Customer_ID,Customer_Name,Gender,DOB,Email,Phone,Customer_City,Card_ID,Card_Type,Issuer_Bank,Card_Tier,Expiry_Date,Merchant_ID,Merchant_Name,Merchant_Category,Merchant_Country,Location_ID,City,State,Country
T1010,2024-06-08,61206.61,FAIL,Online,C1010,Pamela Romero,O,1944-09-10,pamela.romero@gmail.com,6022988318,Chandigarh,Card1010,Debit,Harrell LLC,Silver,2027-09-18,M1010,"Romero, Gonzalez and Brooks",Grocery,india,L1010,Mumbai,Maharashtra,Inda
T1011,2023-10-25,13168.88,Fraudulent,POS,C1011,Linda Burns,O,1981-03-06,linda.burns@yahoo.com,7685290680,Ahmedabad,Card1011,Debit,Hickman LLC,Silver,2029-12-25,M1011,Brown PLC,Grocery,Inda,L1011,Bangalore,Telangana,Inda
T1012,2023-08-22,86474.11,Failed,pos,C1012,Vanessa Patel,M,1950-04-20,vanessa.patel@gmail.com,6822178461,Chennai,Card1012,Debit,Anderson Group,Gold,2029-08-09,M1012,"Martin, Rose and Obrien",Grocery,india,L1012,Chennai,Maharashtra,india
T1013,2023-12-03,50989.63,FAIL,ATM,C1013,Jennifer Powers,M,1981-03-04,jennifer.powers@yahoo.com,9388263207,Mumbai,Card1013,Debit,Kim-Holmes,Gold,2027-03-08,M1013,Wright Inc,Electronics,india,L1013,Hyderabad,Uttar Pradesh,Inda
T1014,2024-03-10,31460.17,Success,onlne,C1014,Daniel Jones,F,1945-11-26,daniel.jones@yahoo.com,9095776306,Chandigarh,Card1014,Debit,"Brown, Jones and Johnson",Gold,2030-03-08,M1014,Jones-Young,Travel,Inda,L1014,Chennai,Delhi,india
T1015,2024-11-22,79394.17,Failed,onlne,C1015,Miranda Khan,M,1977-07-04,miranda.khan@yahoo.com,8483276346,Kolkata,Card1015,Debit,"Kennedy, Mueller and Aguirre",Silver,2027-04-18,M1015,Davis Ltd,Grocery,India,L1015,Chennai,Karnataka,India
T1016,2024-05-21,80430.57,FAIL,pos,C1016,Scott Brown,M,1968-08-01,scott.brown@gmail.com,7733168887,Chandigarh,Card1016,Credit,"Joyce, Garcia and Powell",Silver,2029-01-28,M1016,Mcbride-Rodriguez,Electronics,Inda,L1016,Chandigarh,Punjab,Inda
T1017,2023-11-17,62712.17,Fraudulent,pos,C1017,Javier Ramirez,M,1957-06-01,javier.ramirez@rediffmail.com,9858742267,Kolkata,Card1017,Credit,Baxter Inc,Gold,2030-01-13,M1017,Morton-Chase,Retail,India,L1017,Chennai,Delhi,india
T1018,2023-09-06,689.02,Fraudulent,ATM,C1018,Tracy House,F,1947-12-01,tracy.house@gmail.com,8542495687,Lucknow,Card1018,Credit,Martin Group,Gold,2030-01-26,M1018,Lewis-Morales,Retail,india,L1018,Hyderabad,Uttar Pradesh,Inda
T1019,2023-08-06,33816.3,sucsess,ATM,C1019,James House,F,1955-09-05,james.house@yahoo.com,6956048123,Kolkata,Card1019,Credit,Mitchell-Horton,Platinum,2028-09-11,M1019,"Cowan, Peters and Higgins",Travel,India,L1019,Mumbai,Karnataka,India
T1020,2023-10-20,81948.19,Fraudulent,Online,C1020,Anthony Fitzgerald,O,1957-05-24,anthony.fitzgerald@gmail.com,7165267167,Bangalore,Card1020,Debit,Adkins Inc,Gold,2027-12-30,M1020,Silva PLC,Grocery,India,L1020,Kochi,Delhi,India
T1021,2025-06-05,82887.86,Failed,pos,C1021,Tyler Miller,M,2002-07-02,tyler.miller@gmail.com,6343538819,Chandigarh,Card1021,Debit,Jones Inc,Platinum,2029-12-28,M1021,"Hensley, Powell and David",Electronics,india,L1021,Kochi,West Bengal,india
T1022,2024-09-06,88043.97,Fraudulent,atm,C1022,Lisa Barnes,M,1961-03-24,lisa.barnes@gmail.com,9246308127,Chandigarh,Card1022,Credit,"Cunningham, Stewart and Green",Platinum,2030-05-25,M1022,"Moran, Allen and Foster",Grocery,Inda,L1022,Ahmedabad,Gujarat,india
T1023,2024-11-24,12153.52,Failed,ATM,C1023,Timothy Walls,M,1988-05-26,timothy.walls@yahoo.com,7354547372,Chandigarh,Card1023,Credit,Ellis PLC,Platinum,2028-01-10,M1023,Jones and Sons,Travel,India,L1023,Delhi,West Bengal,India
T1024,2024-07-18,5232.53,sucsess,Online,C1024,Shirley Suarez,M,1962-07-09,shirley.suarez@yahoo.com,6561848544,Lucknow,Card1024,Debit,Mitchell-Kim,Platinum,2026-08-07,M1024,"Warner, Carr and Archer",Grocery,India,L1024,Kochi,West Bengal,India
T1025,2024-11-10,76297.44,Failed,ATM,C1025,Kristen Huynh,O,1980-06-19,kristen.huynh@rediffmail.com,7739254509,Mumbai,Card1025,Credit,Mcmillan and Sons,Platinum,2025-07-16,M1025,Wilson-Rodriguez,Retail,india,L1025,Ahmedabad,Kerala,india
T1026,2024-08-24,26636.68,Failed,Online,C1026,Daniel Cooper,M,1955-01-19,daniel.cooper@outlook.com,9022758112,Chennai,Card1026,Debit,"Walters, Baker and Freeman",Platinum,2027-10-16,M1026,Davis Group,Electronics,India,L1026,Ahmedabad,West Bengal,Inda
T1027,2025-03-27,82159.98,FAIL,Online,C1027,Ray Walsh,M,1963-04-20,ray.walsh@rediffmail.com,6876026850,Ahmedabad,Card1027,Debit,Martin-Ramos,Silver,2025-11-05,M1027,"Patterson, Smith and Jones",Electronics,Inda,L1027,Ahmedabad,Maharashtra,india
T1028,2025-05-07,86504.57,Success,onlne,C1028,Sandra Aguilar,O,1991-07-01,sandra.aguilar@gmail.com,8446470021,Ahmedabad,Card1028,Debit,Jordan Inc,Platinum,2026-09-28,M1028,Diaz-Fitzpatrick,Electronics,Inda,L1028,Ahmedabad,Karnataka,India
T1029,2025-04-20,46198.64,Success,onlne,C1029,David Garcia,M,1947-03-10,david.garcia@outlook.com,9196215509,Ahmedabad,Card1029,Debit,"Henson, Russell and Oliver",Gold,2028-07-07,M1029,Frost and Sons,Electronics,india,L1029,Delhi,Gujarat,Inda
T1030,2025-04-23,86539.53,sucsess,atm,C1030,Allison Doyle,F,1955-07-14,allison.doyle@yahoo.com,8783720785,Hyderabad,Card1030,Debit,Patton-Jenkins,Platinum,2026-12-24,M1030,"Shields, Cochran and Adams",Travel,India,L1030,Delhi,Kerala,india
T1031,2025-02-22,86983.06,sucsess,Online,C1031,Andrew Ruiz,O,1992-03-12,andrew.ruiz@gmail.com,9783689405,Ahmedabad,Card1031,Credit,Velasquez Group,Gold,2026-05-23,M1031,Torres-Pope,Grocery,India,L1031,Ahmedabad,West Bengal,india
T1032,2023-12-15,9128.9,Success,onlne,C1032,Jennifer Ramirez,O,1959-08-23,jennifer.ramirez@gmail.com,9968456262,Mumbai,Card1032,Debit,Rasmussen LLC,Gold,2025-09-03,M1032,May-Ross,Retail,india,L1032,Bangalore,West Bengal,india
T1033,2025-04-07,1038.8,sucsess,ATM,C1033,Ashley Waller,O,1980-12-17,ashley.waller@rediffmail.com,7108629142,Chandigarh,Card1033,Credit,Carpenter LLC,Gold,2028-04-15,M1033,Rodriguez Group,Travel,Inda,L1033,Lucknow,West Bengal,india
T1034,2024-03-16,74492.42,Success,atm,C1034,William Wilson,O,1994-01-19,william.wilson@rediffmail.com,6255929625,Ahmedabad,Card1034,Debit,"Lee, Williams and Graham",Silver,2028-02-21,M1034,"Frost, Ryan and Ball",Travel,India,L1034,Delhi,Kerala,india
T1035,2025-01-18,97151.81,FAIL,atm,C1035,Benjamin Beck,F,1994-08-18,benjamin.beck@yahoo.com,6345702711,Chennai,Card1035,Debit,Hanson-Alvarado,Gold,2027-02-24,M1035,Cortez LLC,Travel,Inda,L1035,Hyderabad,Maharashtra,india
T1036,2024-07-19,82259.49,Fraudulent,Online,C1036,Michael Spencer,O,1965-07-09,michael.spencer@yahoo.com,9983705466,Delhi,Card1036,Debit,Fisher Group,,2028-12-11,M1036,"Adkins, Thompson and Carroll",Travel,Inda,L1036,Delhi,Maharashtra,Inda
T1037,2024-05-02,94602.81,sucsess,atm,C1037,Daniel Floyd,O,1981-10-05,daniel.floyd@outlook.com,6193408146,Chennai,Card1037,Debit,"Pena, Marshall and Ramos",Gold,2025-06-23,M1037,Dixon Ltd,Travel,India,L1037,Hyderabad,Delhi,india
T1038,2023-10-31,59754.88,Success,Online,C1038,Matthew Harvey,F,1989-04-22,matthew.harvey@outlook.com,8593311846,Delhi,Card1038,Credit,Cardenas and Sons,Silver,2026-03-12,M1038,"Collins, Drake and Hernandez",Grocery,Inda,L1038,Delhi,Delhi,india
T1039,2023-07-27,-100.0,Fraudulent,Online,C1039,Patricia Gibson,M,1961-02-18,patricia.gibson@gmail.com,7957181375,Lucknow,Card1039,Credit,"Johnston, Higgins and Cruz",Gold,2029-07-07,M1039,Sanchez-Douglas,Travel,Inda,L1039,Kochi,Maharashtra,india
T1040,2023-06-26,60868.91,Success,POS,C1040,Colleen Brock,F,2005-03-21,colleen.brock@gmail.com,8490446490,Kochi,Card1040,Debit,"Holmes, Williams and Wright",Platinum,2026-05-19,M1040,Bryant Group,Electronics,Inda,L1040,Kochi,Uttar Pradesh,India
T1041,2024-11-21,9213.36,Success,Online,C1041,Tiffany Vance,F,1980-08-13,tiffany.vance@yahoo.com,7483733296,Mumbai,Card1041,Debit,"Briggs, Mcclain and Simmons",Platinum,2030-03-24,M1041,"Griffin, Moore and Hensley",Travel,Inda,L1041,Mumbai,Uttar Pradesh,india
T1042,2024-06-05,76284.3,FAIL,POS,C1042,Destiny Strickland,F,1962-02-10,destiny.strickland@rediffmail.com,6963526218,Chandigarh,Card1042,Credit,Sims-Hill,Platinum,2027-07-30,M1042,Reeves and Sons,Travel,India,L1042,Chennai,West Bengal,Inda
T1043,2024-01-19,56675.48,sucsess,Online,C1043,Angela Hernandez,M,1967-04-30,angela.hernandez@outlook.com,123,Bangalore,Card1043,Credit,Benson-Mccarthy,Silver,2028-03-11,M1043,Perry LLC,Electronics,india,L1043,Chennai,Telangana,india
T1044,2024-08-16,43048.37,Fraudulent,onlne,C1044,Ross Price,O,1976-03-06,ross.price@gmail.com,7166264427,Kochi,Card1044,Debit,"Shah, Smith and Gilmore",Gold,2029-01-03,M1044,"James, Smith and Bell",Electronics,Inda,L1044,Bangalore,Karnataka,India
T1045,2025-01-27,86190.26,Success,pos,C1045,Morgan Marsh,M,1971-01-05,morgan.marsh@yahoo.com,8307137588,Ahmedabad,Card1045,Credit,Freeman LLC,Platinum,2029-01-13,M1045,Tucker-Price,Electronics,Inda,L1045,Lucknow,West Bengal,India
T1046,2024-11-22,33373.56,Failed,Online,C1046,Sara Calhoun,O,1990-09-09,sara.calhoun@yahoo.com,9890825533,Mumbai,Card1046,Credit,"Ferguson, Meadows and Vargas",Gold,2028-11-29,M1046,"Johnson, Day and Taylor",Grocery,India,L1046,Mumbai,Tamil Nadu,india
T1047,2024-06-14,44032.31,sucsess,pos,C1047,Garrett Gibson,O,1956-11-02,garrett.gibson@gmail.com,9455686939,Kolkata,Card1047,Debit,Juarez-Gray,Gold,2025-11-25,M1047,King-Miller,Travel,india,L1047,Ahmedabad,Karnataka,India
T1048,2023-07-07,6281.18,Success,ATM,C1048,Trevor Walker,O,1995-06-12,trevor.walker@gmail.com,9457848634,Mumbai,Card1048,Credit,Harrington Ltd,Platinum,2030-01-22,M1048,Webster and Sons,Electronics,Inda,L1048,Chandigarh,Kerala,India
T1049,2023-11-23,60309.81,Failed,ATM,C1049,Cynthia Wells,M,2001-08-01,cynthia.wells@rediffmail.com,8606335328,Kochi,Card1049,Credit,Elliott and Sons,Gold,2025-08-24,M1049,Lyons-Wang,Electronics,India,L1049,Kochi,Maharashtra,india
T1050,2023-10-30,7808.79,Success,atm,C1050,Carla Collins,O,1985-09-14,carla.collins@outlook.com,6643312942,Chandigarh,Card1050,Credit,"Johnson, Collins and Byrd",Platinum,2026-06-12,M1050,Sanders-Espinoza,Electronics,India,L1050,Chennai,Tamil Nadu,Inda
T1051,2023-08-20,46954.66,Failed,ATM,C1051,Raymond Jefferson,O,1984-10-06,raymond.jefferson@yahoo.com,6462427453,Kochi,Card1051,Debit,"Trujillo, Hogan and Knight",Gold,2027-07-16,M1051,Reed Group,Electronics,India,L1051,Delhi,Kerala,India
T1052,2024-11-16,81688.66,Fraudulent,Online,C1052,Gloria Atkinson,F,1969-09-09,gloria.atkinson@rediffmail.com,6751014580,Bangalore,Card1052,Debit,Garcia-Yu,Silver,2026-01-22,M1052,"Snow, Stevens and Hernandez",Retail,india,L1052,Delhi,Karnataka,india
T1053,2023-11-05,15037.01,FAIL,atm,C1053,Debra Morton,F,1994-05-29,debra.morton@outlook.com,7094874690,Mumbai,Card1053,Debit,"Hampton, Marshall and Petersen",Silver,2029-11-29,M1053,"Adams, Christian and Rivas",Electronics,Inda,L1053,Kochi,Gujarat,India
T1054,2023-08-28,54453.79,FAIL,atm,C1054,John Bishop,M,1963-06-15,john.bishop@gmail.com,7720351653,Lucknow,Card1054,Debit,Rogers-Snyder,Gold,2029-04-22,M1054,White-Lewis,Travel,Inda,L1054,Bangalore,Telangana,India
T1055,2025-03-02,71632.9,sucsess,Online,C1055,Kyle Beard,F,1962-01-20,kyle.beard@gmail.com,8133686941,Delhi,Card1055,Credit,"Smith, Vaughan and Miller",Silver,2028-05-14,M1055,"Russell, Peters and Allen",Travel,Inda,L1055,Lucknow,Punjab,india
T1056,2024-06-25,49802.59,FAIL,ATM,C1056,Alan Phillips,M,1988-06-05,alan.phillips@yahoo.com,6831387839,Lucknow,Card1056,Credit,Holt-Torres,Silver,2029-08-24,M1056,"Wood, Tran and Cooper",Travel,India,L1056,Mumbai,Telangana,Inda
T1057,2025-01-21,36394.78,Failed,Online,C1057,Jesse Parker,M,1981-12-04,jesse.parker@rediffmail.com,9308392990,Kochi,Card1057,Debit,Martinez and Sons,Silver,2028-04-14,M1057,Wilson-Herrera,Travel,india,L1057,Lucknow,Kerala,India
T1058,2025-02-03,26251.49,Fraudulent,onlne,C1058,Parker Hill,F,1991-06-10,parker.hill@outlook.com,6553621743,Delhi,Card1058,Debit,"Bray, Warren and Campbell",Gold,2027-01-18,M1058,Wall LLC,Grocery,India,L1058,Ahmedabad,Tamil Nadu,Inda
T1059,2023-12-15,79227.36,Failed,pos,C1059,Michael Martinez,M,1969-01-11,michael.martinez@outlook.com,6522177132,Hyderabad,Card1059,Debit,Mccann PLC,Platinum,2026-12-31,M1059,Terry-Martinez,Retail,India,L1059,Kolkata,Uttar Pradesh,Inda
T1060,2025-04-26,12990.39,FAIL,Online,C1060,Adam Mitchell,M,1995-09-13,adam.mitchell@rediffmail.com,6130451855,Chandigarh,Card1060,Credit,Alexander-Lopez,Silver,2029-08-25,M1060,King Group,Grocery,india,L1060,Chandigarh,West Bengal,India
T1061,2023-09-18,4215.31,Success,Online,C1061,Benjamin Soto,M,2000-06-01,benjamin.soto@outlook.com,8606551693,Kochi,Card1061,Debit,Hernandez PLC,Platinum,2026-01-11,M1061,Miller-Wright,Retail,india,L1061,Chandigarh,West Bengal,Inda
T1062,2024-08-28,39931.79,Fraudulent,atm,C1062,Rachel Perez,O,1996-06-29,rachel.perez@rediffmail.com,6614431839,Mumbai,Card1062,Debit,"James, Kerr and Evans",Silver,2029-01-05,M1062,"Branch, Torres and Oliver",Grocery,India,L1062,Mumbai,Karnataka,india
T1063,2024-10-07,39384.89,sucsess,POS,C1063,Christine Clark,M,1994-11-02,christine.clark@rediffmail.com,7897119484,Kochi,Card1063,Debit,"Miller, Allen and Arnold",Gold,2026-04-26,M1063,Smith Group,Electronics,india,L1063,Chandigarh,Karnataka,India
T1064,2024-12-08,61143.21,Failed,Online,C1064,David Mann,F,1984-11-18,david.mann@outlook.com,8005323458,Hyderabad,Card1064,Debit,"Heath, Jones and Hall",Gold,2029-06-20,M1064,French-Weber,Grocery,Inda,L1064,Chandigarh,Uttar Pradesh,Inda
T1065,2024-11-16,50780.77,FAIL,atm,C1065,Joshua Holland,F,1999-03-07,,9518193368,Kochi,Card1065,Debit,Serrano-Jones,Silver,2027-02-26,M1065,Sparks PLC,Retail,india,L1065,Kochi,West Bengal,Inda
T1066,2025-01-23,11078.56,Success,pos,C1066,Jessica Harrison,F,2000-07-24,jessica.harrison@rediffmail.com,7751668160,Lucknow,Card1066,Credit,Lyons-Bender,Silver,2030-04-25,M1066,"Fernandez, Kim and George",Electronics,Inda,L1066,Bangalore,Tamil Nadu,Inda
T1067,2025-05-12,95738.01,Fraudulent,atm,C1067,Allison Perez,F,1973-11-15,allison.perez@rediffmail.com,8945568682,Delhi,Card1067,Debit,"Huff, Johnston and Sampson",Platinum,2028-03-19,M1067,"Underwood, Johnston and Hines",Electronics,india,L1067,Ahmedabad,Telangana,Inda
T1068,2023-11-05,74759.12,Failed,POS,C1068,Sydney White,O,1976-06-28,sydney.white@outlook.com,9833710909,Kolkata,Card1068,Debit,"Graham, Olsen and Costa",Platinum,2029-11-20,M1068,Bailey-Cook,Grocery,India,L1068,Bangalore,Punjab,India
T1069,2024-11-23,96395.01,Fraudulent,ATM,C1069,Michael Roberts,O,1951-08-04,michael.roberts@rediffmail.com,9170594984,Bangalore,Card1069,Credit,Cervantes-Pierce,Silver,2026-11-03,M1069,Miller-King,Retail,India,L1069,Lucknow,Tamil Nadu,India
T1070,2023-09-20,85120.87,sucsess,ATM,C1070,Samantha Smith,M,1997-01-16,samantha.smith@rediffmail.com,8805192954,Mumbai,Card1070,Debit,"Murray, Brown and Stone",Gold,2028-11-28,M1070,"Avila, Garrett and Wolf",Grocery,India,L1070,Hyderabad,West Bengal,Inda
T1071,2023-11-27,30264.39,FAIL,Online,C1071,Dwayne Gilmore,F,1962-08-24,dwayne.gilmore@rediffmail.com,8061132227,Hyderabad,Card1071,Credit,Martinez-Dudley,Silver,2030-02-22,M1071,"Lloyd, Mckinney and Collins",Grocery,india,L1071,Chandigarh,West Bengal,Inda
T1072,2023-07-02,21919.32,Failed,onlne,C1072,Willie Durham,O,1982-01-20,willie.durham@outlook.com,7211764545,Mumbai,Card1072,Debit,Valentine-Holland,Gold,2028-12-10,M1072,Jimenez Ltd,Retail,India,L1072,Chandigarh,Punjab,India
T1073,2024-02-03,46291.59,Fraudulent,onlne,C1073,John Kennedy,M,1979-02-07,john.kennedy@outlook.com,9125058454,Lucknow,Card1073,Debit,Arnold-Reyes,Platinum,2027-10-19,M1073,"Romero, Suarez and Shields",Retail,India,L1073,Lucknow,Telangana,Inda
T1074,2024-01-22,90686.05,sucsess,Online,C1074,Richard Adams,O,1997-01-19,richard.adams@gmail.com,9047796493,Chandigarh,Card1074,Credit,Campbell LLC,Gold,2029-01-01,M1074,"Carpenter, Keller and Grimes",Electronics,Inda,L1074,Chennai,Delhi,India
T1075,2024-06-02,76628.74,Success,POS,C1075,Juan Daniels,M,1981-02-14,juan.daniels@rediffmail.com,9582329718,Mumbai,Card1075,Credit,Cantu-Kane,Gold,2029-08-04,M1075,"Allen, Reyes and Chase",Retail,India,L1075,Bangalore,Uttar Pradesh,india
T1076,2024-05-06,41414.66,Fraudulent,Online,C1076,Michele Shepherd,O,1947-06-11,michele.shepherd@gmail.com,8295578289,Kochi,Card1076,Credit,Mcneil-Sparks,Gold,2028-03-06,M1076,"Pollard, Simpson and Johnson",Retail,india,L1076,Lucknow,Punjab,india
T1077,2024-07-16,25574.06,Fraudulent,onlne,C1077,Shelly Alexander,M,1984-08-20,shelly.alexander@outlook.com,9228140445,Ahmedabad,Card1077,Debit,"Lozano, Smith and Thomas",Platinum,2028-04-18,M1077,"Booker, Jones and Harrington",Retail,india,L1077,Lucknow,Kerala,Inda
T1078,2024-01-13,39723.54,Failed,atm,C1078,Sarah Phelps,F,1967-07-06,sarah.phelps@yahoo.com,8392177796,Kolkata,Card1078,Debit,"James, Stewart and Higgins",Platinum,2028-11-07,M1078,Brennan-Johnson,Travel,india,L1078,Chandigarh,Gujarat,india
T1079,2023-08-14,15325.9,Fraudulent,POS,C1079,Nicole Hamilton MD,F,1960-06-13,nicole.hamilton.md@rediffmail.com,8934521295,Kochi,Card1079,Credit,"Padilla, Garcia and Jackson",Platinum,2027-12-01,M1079,Berger-Williams,Travel,india,L1079,Ahmedabad,Gujarat,india
T1080,2025-03-01,-100.0,Failed,onlne,C1080,Jeffrey Sanchez,M,1948-04-16,jeffrey.sanchez@yahoo.com,9189958080,Mumbai,Card1080,Credit,Knight-Sparks,,2027-12-20,M1080,Thompson PLC,Travel,India,L1080,Kochi,Kerala,india
T1081,2025-04-28,9721.76,Failed,POS,C1081,Mr. David Little MD,M,1970-07-04,,9052908689,Kochi,Card1081,Debit,"Smith, Ballard and Santana",Gold,2027-07-10,M1081,"Payne, Jones and Landry",Retail,india,L1081,Lucknow,Gujarat,Inda
T1082,2024-09-20,43447.57,Fraudulent,atm,C1082,Joyce Turner,M,1964-10-30,joyce.turner@outlook.com,6687035001,Chandigarh,Card1082,Credit,Castaneda-Rodriguez,Platinum,2029-01-30,M1082,Armstrong-Andrews,Electronics,india,L1082,Bangalore,Maharashtra,Inda
T1083,2024-12-16,67735.79,FAIL,ATM,C1083,Mary Hill,F,1964-07-25,mary.hill@gmail.com,8021889255,Chennai,Card1083,Credit,"Grimes, Osborne and Beltran",Gold,2025-08-29,M1083,"Mcgee, Wall and Leach",Electronics,India,L1083,Mumbai,Telangana,Inda
T1084,2025-02-13,61899.73,Failed,onlne,C1084,Heather Fields,M,1998-11-01,heather.fields@rediffmail.com,8029439466,Mumbai,Card1084,Debit,"King, Campos and Saunders",Platinum,2027-06-06,M1084,"Massey, Fuller and Berger",Grocery,Inda,L1084,Lucknow,Telangana,india
T1085,2024-11-05,78465.43,sucsess,Online,C1085,Amanda Diaz,F,1947-02-26,,8710455105,Lucknow,Card1085,Debit,Davis LLC,Platinum,2028-02-06,M1085,Burgess-Thompson,Grocery,Inda,L1085,Chandigarh,Tamil Nadu,Inda
T1086,2023-10-02,10786.54,Fraudulent,Online,C1086,Holly Shaw,F,1997-12-29,holly.shaw@outlook.com,7044402265,Hyderabad,Card1086,Debit,Rivas-Scott,Gold,2030-01-22,M1086,Coffey-Phillips,Electronics,Inda,L1086,Kochi,Tamil Nadu,india
T1087,2025-04-28,11477.39,FAIL,POS,C1087,Bernard Webster,O,1967-07-10,bernard.webster@yahoo.com,7992645238,Chandigarh,Card1087,Credit,Dalton Ltd,Platinum,2026-06-14,M1087,"Whitney, Coffey and Ballard",,Inda,L1087,Ahmedabad,Delhi,india
T1088,2024-04-01,53483.3,sucsess,atm,C1088,Joshua Gibson,M,1950-08-14,joshua.gibson@gmail.com,9613214345,Hyderabad,Card1088,Credit,"Curry, Baker and James",Silver,2028-10-29,M1088,"Bentley, Rodriguez and Hall",Travel,India,L1088,Kochi,Karnataka,Inda
T1089,2023-07-11,77256.99,FAIL,onlne,C1089,Leonard Holland,O,1986-08-19,leonard.holland@rediffmail.com,8940255554,Chennai,Card1089,Debit,"Colon, Blankenship and Turner",Gold,2030-04-01,M1089,Wilson-Williams,Electronics,India,L1089,Mumbai,Tamil Nadu,india
T1090,2023-07-20,16518.97,Failed,atm,C1090,David Medina,M,1965-03-09,david.medina@yahoo.com,8446338186,Chandigarh,Card1090,Credit,Chavez-Santiago,Gold,2029-08-30,M1090,"Horton, Fernandez and Matthews",Grocery,india,L1090,Chennai,Tamil Nadu,Inda
T1091,2025-01-06,45809.29,Fraudulent,onlne,C1091,Sandra Gilbert,F,1954-12-27,sandra.gilbert@yahoo.com,9372780181,Chandigarh,Card1091,Debit,Johnson-Wood,Platinum,2029-01-01,M1091,Wallace-Young,Retail,india,L1091,Hyderabad,Gujarat,Inda
T1092,2024-03-29,48718.35,FAIL,onlne,C1092,Vanessa Howard,O,1951-03-27,vanessa.howard@outlook.com,6632131355,Chennai,Card1092,Credit,Hill-Donaldson,Silver,2028-08-06,M1092,Davis-Lewis,Electronics,Inda,L1092,Bangalore,Telangana,India
T1093,2024-10-30,28938.16,sucsess,atm,C1093,Gavin Zhang,O,1985-02-09,gavin.zhang@rediffmail.com,9447415720,Ahmedabad,Card1093,Credit,"Harris, Gallegos and Spencer",Gold,2025-08-27,M1093,"Robinson, Kane and Murphy",Travel,Inda,L1093,Bangalore,Gujarat,Inda
T1094,2023-10-14,71104.32,sucsess,POS,C1094,William Huerta,O,1998-02-20,william.huerta@yahoo.com,6438497285,Chennai,Card1094,Credit,"King, Thompson and Guerrero",Silver,2025-06-30,M1094,Anderson LLC,Travel,Inda,L1094,Chandigarh,Tamil Nadu,india
